created_at,incentives_name,path_name
'2022-11-05 22:31:21.576',"job","medical transcriptionists"
'2022-11-05 22:31:21.576',"job","nuclear medicine technologists"
'2022-11-05 22:31:21.576',"job","nursing assistants and orderlies"
'2022-11-05 22:31:21.576',"job","occupational health and safety specialists and technicians"
'2022-11-05 22:31:21.576',"job","occupational therapists"
'2022-11-05 22:31:21.576',"job","occupational therapy assistants and aides"
'2022-11-05 22:31:21.576',"job","opticians"
'2022-11-05 22:31:21.576',"job","optometrists"
'2022-11-05 22:31:21.576',"job","orthotists and prosthetists"
'2022-11-05 22:31:21.576',"job","pharmacists"
'2022-11-05 22:31:21.576',"job","pharmacy technicians"
'2022-11-05 22:31:21.576',"job","phlebotomists"
'2022-11-05 22:31:21.576',"job","physical therapist assistants and aides"
'2022-11-05 22:31:21.576',"job","surgical technologists"
'2022-11-05 22:31:21.576',"job","physical therapists"
'2022-11-05 22:31:21.576',"job","physician assistants"
'2022-11-05 22:31:21.576',"job","physicians and surgeons"
'2022-11-05 22:31:21.576',"job","podiatrists"
'2022-11-05 22:31:21.576',"job","compensation, managers, benefits managers"
'2022-11-05 22:31:21.576',"job","psychiatric technicians and aides"
'2022-11-05 22:31:21.576',"job","radiation therapists"
'2022-11-05 22:31:21.576',"job","radiologic and mri technologists"
'2022-11-05 22:31:21.576',"job","recreational therapists"
'2022-11-05 22:31:21.576',"job","registered nurses"
'2022-11-05 22:31:21.576',"job","respiratory therapists"
'2022-11-05 22:31:21.576',"job","speech language pathologists"
'2022-11-05 22:31:21.576',"job","veterinarians"
'2022-11-05 22:31:21.576',"job","veterinary assistants, laboratory animal caretakers"
'2022-11-05 22:31:21.576',"job","veterinary technologists, veterinary technicians"
'2022-11-05 22:31:21.576',"job","aircraft and avionics equipment mechanics and technicians"
'2022-11-05 22:31:21.576',"job","automotive service technicians and mechanics"
'2022-11-05 22:31:21.576',"job","diesel service technicians and mechanics"
'2022-11-05 22:31:21.576',"job","electrical and electronics installers and repairers"
'2022-11-05 22:31:21.576',"job","general maintenance and repair workers"
'2022-11-05 22:31:21.576',"job","heating, air conditioning and refrigeration mechanics and installers"
'2022-11-05 22:31:21.576',"job","heavy vehicle and mobile equipment service technicians"
'2022-11-05 22:31:21.576',"job","industrial machinery mechanics, machinery maintenance workers, millwrights"
'2022-11-05 22:31:21.576',"job","line installers and repairers"
'2022-11-05 22:31:21.576',"job","medical equipment repairers"
'2022-11-05 22:31:21.576',"job","training and development managers"
'2022-11-05 22:31:21.576',"job","small engine mechanics"
'2022-11-05 22:31:21.576',"job","telecommunications equipment installers and repairers"
'2022-11-05 22:31:21.576',"job","wind turbine technicians"
'2022-11-05 22:31:21.576',"job","arbitrators, mediators, conciliators"
'2022-11-05 22:31:21.576',"job","court reporters"
'2022-11-05 22:31:21.576',"job","judges and hearing officers"
'2022-11-05 22:31:21.576',"job","lawyers"
'2022-11-05 22:31:21.576',"job","paralegals and legal assistants"
'2022-11-05 22:31:21.576',"job","agricultural and food science technicians"
'2022-11-05 22:31:21.576',"job","agricultural and food scientists"
'2022-11-05 22:31:21.576',"job","atmospheric scientists, meteorologists"
'2022-11-05 22:31:21.576',"job","biochemists and biophysicists"
'2022-11-05 22:31:21.576',"job","biological technicians"
'2022-11-05 22:31:21.576',"job","chemical technicians"
'2022-11-05 22:31:21.576',"job","chemists, materials scientists"
'2022-11-05 22:31:21.576',"job","conservation scientists, foresters"
'2022-11-05 22:31:21.576',"job","economists"
'2022-11-05 22:31:21.576',"job","environmental science and protection technicians"
'2022-11-05 22:31:21.576',"job","environmental scientists and specialists"
'2022-11-05 22:31:21.576',"job","epidemiologists"
'2022-11-05 22:31:21.576',"job","forensic science technicians"
'2022-11-05 22:31:21.576',"job","geographers"
'2022-11-05 22:31:21.576',"job","geological technicians, petroleum technicians"
'2022-11-05 22:31:21.576',"job","geoscientists"
'2022-11-05 22:31:21.576',"job","historians"
'2022-11-05 22:31:21.576',"job","urban and regional planners"
'2022-11-05 22:31:21.576',"job","hydrologists"
'2022-11-05 22:31:21.576',"job","medical scientists"
'2022-11-05 22:31:21.576',"job","microbiologists"
'2022-11-05 22:31:21.576',"job","nuclear technicians"
'2022-11-05 22:31:21.576',"job","physicists, astronomers"
'2022-11-05 22:31:21.576',"job","political scientists"
'2022-11-05 22:31:21.576',"job","psychologists"
'2022-11-05 22:31:21.576',"job","sociologists"
'2022-11-05 22:31:21.576',"job","survey researchers"
'2022-11-05 22:31:21.576',"job","zoologists, wildlife biologists"
'2022-11-05 22:31:21.576',"job","administrative services managers"
'2022-11-05 22:31:21.576',"job","advertising managers, promotions managers, marketing managers"
'2022-11-05 22:31:21.576',"job","architectural managers, engineering managers"
'2022-11-05 22:31:21.576',"job","computer and information systems managers"
'2022-11-05 22:31:21.576',"job","construction managers"
'2022-11-05 22:31:21.576',"job","elementary, middle, and high school principals"
'2022-11-05 22:31:21.576',"job","emergency management directors"
'2022-11-05 22:31:21.576',"job","farmers, ranchers, and other agricultural managers"
'2022-11-05 22:31:21.576',"job","customer service representatives"
'2022-11-05 22:31:21.576',"job","financial managers"
'2022-11-05 22:31:21.576',"job","food service managers"
'2022-11-05 22:31:21.576',"job","social and community service managers"
'2022-11-05 22:31:21.576',"job","human resources managers"
'2022-11-05 22:31:21.576',"job","industrial production managers"
'2022-11-05 22:31:21.576',"job","lodging managers"
'2022-11-05 22:31:21.576',"job","medical and health services managers"
'2022-11-05 22:31:21.576',"job","natural sciences managers"
'2022-11-05 22:31:21.576',"job","postsecondary education administrators"
'2022-11-05 22:31:21.576',"job","preschool and childcare center directors"
'2022-11-05 22:31:21.576',"job","property managers, real estate managers, community association managers"
'2022-11-05 22:31:21.576',"job","public relations managers, fundraising managers"
'2022-11-05 22:31:21.576',"job","sales managers"
'2022-11-05 22:31:21.576',"job","skincare specialists"
'2022-11-05 22:31:21.576',"job","top executives"
'2022-11-05 22:31:21.576',"job","actuaries"
'2022-11-05 22:31:21.576',"job","mathematicians, statisticians"
'2022-11-05 22:31:21.576',"job","operations research analysts"
'2022-11-05 22:31:21.576',"job","announcers"
'2022-11-05 22:31:21.576',"job","broadcast and sound engineering technicians"
'2022-11-05 22:31:21.576',"job","editors"
'2022-11-05 22:31:21.576',"job","film and video editors, camera operators"
'2022-11-05 22:31:21.576',"job","interpreters, translators"
'2022-11-05 22:31:21.576',"job","photographers"
'2022-11-05 22:31:21.576',"job","public relations specialists"
'2022-11-05 22:31:21.576',"job","reporters, correspondents, and broadcast news analysts"
'2022-11-05 22:31:21.576',"job","technical writers"
'2022-11-05 22:31:21.576',"job","writers, authors"
'2022-11-05 22:31:21.576',"job","military careers"
'2022-11-05 22:31:21.576',"job","bill collectors, account collectors"
'2022-11-05 22:31:21.576',"job","bookkeeping, accounting, and auditing clerks"
'2022-11-05 22:31:21.576',"job","desktop publishers"
'2022-11-05 22:31:21.576',"job","financial clerks"
'2022-11-05 22:31:21.576',"job","general office clerks"
'2022-11-05 22:31:21.576',"job","information clerks"
'2022-11-05 22:31:21.576',"job","material recording clerks"
'2022-11-05 22:31:21.576',"job","police, fire and ambulance dispatchers"
'2022-11-05 22:31:21.576',"job","postal service workers"
'2022-11-05 22:31:21.576',"job","receptionists"
'2022-11-05 22:31:21.576',"job","secretaries, administrative assistants"
'2022-11-05 22:31:21.576',"job","tellers"
'2022-11-05 22:31:21.576',"job","animal care and service workers"
'2022-11-05 22:31:21.576',"job","barbers, hairstylists, cosmetologists"
'2022-11-05 22:31:21.576',"job","childcare workers"
'2022-11-05 22:31:21.576',"job","fitness trainers and instructors"
'2022-11-05 22:31:21.576',"job","funeral service workers"
'2022-11-05 22:31:21.576',"job","gaming services workers"
'2022-11-05 22:31:21.576',"job","manicurists, pedicurists"
'2022-11-05 22:31:21.576',"job","recreation workers"
'2022-11-05 22:31:21.576',"job","assemblers, fabricators"
'2022-11-05 22:31:21.576',"job","bakers"
'2022-11-05 22:31:21.576',"job","butchers"
'2022-11-05 22:31:21.576',"job","dental and ophthalmic laboratory technicians, medical appliance technicians"
'2022-11-05 22:31:21.576',"job","food and tobacco processing workers"
'2022-11-05 22:31:21.576',"job","jewelers and precious stone and metal workers"
'2022-11-05 22:31:21.576',"job","machinists and tool and die makers"
'2022-11-05 22:31:21.576',"job","metal and plastic machine workers"
'2022-11-05 22:31:21.576',"job","painting and coating workers"
'2022-11-05 22:31:21.576',"job","power plant operators, distributors, and dispatchers"
'2022-11-05 22:31:21.576',"job","quality control inspectors"
'2022-11-05 22:31:21.576',"job","stationary engineers and boiler operators"
'2022-11-05 22:31:21.576',"job","water and wastewater treatment plant and system operators"
'2022-11-05 22:31:21.576',"job","welders, cutters, solderers, and brazers"
