"created_at","academia_name","path_name"
'2022-11-05 23:53:06.043',"on the job training","desktop publishers"
'2022-11-05 23:53:06.043',"high school diploma","financial clerks"
'2022-11-05 23:53:06.043',"high school diploma","general office clerks"
'2022-11-05 23:53:06.043',"on the job training","general office clerks"
'2022-11-05 23:53:06.043',"high school diploma","information clerks"
'2022-11-05 23:53:06.043',"on the job training","information clerks"
'2022-11-05 23:53:06.043',"high school diploma","material recording clerks"
'2022-11-05 23:53:06.043',"high school diploma","police fire and ambulance dispatchers"
'2022-11-05 23:53:06.043',"on the job training","police fire and ambulance dispatchers"
'2022-11-05 23:53:06.043',"high school diploma","postal service workers"
'2022-11-05 23:53:06.043',"on the job training","postal service workers"
'2022-11-05 23:53:06.043',"high school diploma","receptionists"
'2022-11-05 23:53:06.043',"on the job training","receptionists"
'2022-11-05 23:53:06.043',"high school diploma","secretaries administrative assistants"
'2022-11-05 23:53:06.043',"high school diploma","tellers"
'2022-11-05 23:53:06.043',"on the job training","tellers"
'2022-11-05 23:53:06.043',"high school diploma","animal care and service workers"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","barbers hairstylists cosmetologists"
'2022-11-05 23:53:06.043',"high school diploma","childcare workers"
'2022-11-05 23:53:06.043',"on the job training","childcare workers"
'2022-11-05 23:53:06.043',"high school diploma","fitness trainers and instructors"
'2022-11-05 23:53:06.043',"on the job training","fitness trainers and instructors"
'2022-11-05 23:53:06.043',"associates degree","funeral service workers"
'2022-11-05 23:53:06.043',"high school diploma","gaming services workers"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","manicurists pedicurists"
'2022-11-05 23:53:06.043',"high school diploma","recreation workers"
'2022-11-05 23:53:06.043',"on the job training","recreation workers"
'2022-11-05 23:53:06.043',"high school diploma","assemblers fabricators"
'2022-11-05 23:53:06.043',"on the job training","assemblers fabricators"
'2022-11-05 23:53:06.043',"high school diploma","dental and ophthalmic laboratory technicians medical appliance technicians"
'2022-11-05 23:53:06.043',"on the job training","dental and ophthalmic laboratory technicians medical appliance technicians"
'2022-11-05 23:53:06.043',"on the job training","food and tobacco processing workers"
'2022-11-05 23:53:06.043',"high school diploma","jewelers and precious stone and metal workers"
'2022-11-05 23:53:06.043',"on the job training","jewelers and precious stone and metal workers"
'2022-11-05 23:53:06.043',"on the job training","machinists and tool and die makers"
'2022-11-05 23:53:06.043',"on the job training","metal and plastic machine workers"
'2022-11-05 23:53:06.043',"on the job training","painting and coating workers"
'2022-11-05 23:53:06.043',"high school diploma","power plant operators distributors and dispatchers"
'2022-11-05 23:53:06.043',"on the job training","power plant operators distributors and dispatchers"
'2022-11-05 23:53:06.043',"high school diploma","quality control inspectors"
'2022-11-05 23:53:06.043',"on the job training","quality control inspectors"
'2022-11-05 23:53:06.043',"high school diploma","stationary engineers and boiler operators"
'2022-11-05 23:53:06.043',"on the job training","stationary engineers and boiler operators"
'2022-11-05 23:53:06.043',"high school diploma","water and wastewater treatment plant and system operators"
'2022-11-05 23:53:06.043',"on the job training","water and wastewater treatment plant and system operators"
'2022-11-05 23:53:06.043',"high school diploma","welders cutters solderers and brazers"
'2022-11-05 23:53:06.043',"on the job training","welders cutters solderers and brazers"
'2022-11-05 23:53:06.043',"high school diploma","woodworkers"
'2022-11-05 23:53:06.043',"high school diploma","correctional officers and bailiffs"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","firefighters"
'2022-11-05 23:53:06.043',"on the job training","firefighters"
'2022-11-05 23:53:06.043',"high school diploma","fire inspectors"
'2022-11-05 23:53:06.043',"on the job training","fire inspectors"
'2022-11-05 23:53:06.043',"associates degree","fire inspectors"
'2022-11-05 23:53:06.043',"bachelors degree","fire inspectors"
'2022-11-05 23:53:06.043',"high school diploma","railroad workers"
'2022-11-05 23:53:06.043',"on the job training","railroad workers"
'2022-11-05 23:53:06.043',"high school diploma","police and detectives"
'2022-11-05 23:53:06.043',"college degree","police and detectives"
'2022-11-05 23:53:06.043',"on the job training","police and detectives"
'2022-11-05 23:53:06.043',"high school diploma","private detectives and investigators"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","private detectives and investigators"
'2022-11-05 23:53:06.043',"on the job training","private detectives and investigators"
'2022-11-05 23:53:06.043',"high school diploma","security guards and gaming surveillance officers"
'2022-11-05 23:53:06.043',"high school diploma","advertising sales agents"
'2022-11-05 23:53:06.043',"on the job training","advertising sales agents"
'2022-11-05 23:53:06.043',"on the job training","cashiers"
'2022-11-05 23:53:06.043',"high school diploma","insurance sales agents"
'2022-11-05 23:53:06.043',"on the job training","insurance sales agents"
'2022-11-05 23:53:06.043',"high school diploma","real estate brokers and sales agents"
'2022-11-05 23:53:06.043',"on the job training","retail sales workers"
'2022-11-05 23:53:06.043',"bachelors degree","sales engineers"
'2022-11-05 23:53:06.043',"bachelors degree","securities commodities and financial services sales agents"
'2022-11-05 23:53:06.043',"high school diploma","travel agents"
'2022-11-05 23:53:06.043',"on the job training","travel agents"
'2022-11-05 23:53:06.043',"on the job training","wholesale and manufacturing sales representatives"
'2022-11-05 23:53:06.043',"on the job training","airline and commercial pilots"
'2022-11-05 23:53:06.043',"license","airline and commercial pilots"
'2022-11-05 23:53:06.043',"associates degree","air traffic controllers"
'2022-11-05 23:53:06.043',"on the job training","air traffic controllers"
'2022-11-05 23:53:06.043',"high school diploma","bus drivers"
'2022-11-05 23:53:06.043',"commerical drivers license","bus drivers"
'2022-11-05 23:53:06.043',"high school diploma","delivery truck drivers and driver or sales workers"
'2022-11-05 23:53:06.043',"on the job training","delivery truck drivers and driver or sales workers"
'2022-11-05 23:53:06.043',"high school diploma","flight attendants"
'2022-11-05 23:53:06.043',"less than 5 years related occupation","flight attendants"
'2022-11-05 23:53:06.043',"on the job training","flight attendants"
'2022-11-05 23:53:06.043',"on the job training","hand laborers and material movers"
'2022-11-05 23:53:06.043',"postsecondary nondegree award","heavy and tractor trailer truck drivers"
'2022-11-05 23:53:06.043',"on the job training","heavy and tractor trailer truck drivers"
'2022-11-05 23:53:06.043',"work experience","material moving machine operators"
'2022-11-05 23:53:06.043',"high school diploma","material moving machine operators"
'2022-11-05 23:53:06.043',"on the job training","taxi drivers ride hailing drivers and chauffeurs"
