created_at,path_name,path_name_related
'2022-11-05 21:28:04.421',"food and beverage serving and related workers","dining room attendants"
'2022-11-05 21:28:04.421',"food and beverage serving and related workers","cafeteria attendants"
'2022-11-05 21:28:04.421',"food and beverage serving and related workers","bartender helpers"
'2022-11-05 21:28:04.421',"food and beverage serving and related workers","food servers"
'2022-11-05 21:28:04.421',"food and beverage serving and related workers","hosts and hostesses"
'2022-11-05 21:28:04.421',"dentists","dental public health specialists"
'2022-11-05 21:28:04.421',"dentists","endodontists"
'2022-11-05 21:28:04.421',"dentists","oral and maxillofacial radiologists"
'2022-11-05 21:28:04.421',"dentists","oral and maxillofacial lsurgeons"
'2022-11-05 21:28:04.421',"dentists","oral pathologists"
'2022-11-05 21:28:04.421',"dentists","orthodontists"
'2022-11-05 21:28:04.421',"dentists","pediatric dentists"
'2022-11-05 21:28:04.421',"dentists","periodontists"
'2022-11-05 21:28:04.421',"dentists","prosthodontists"
'2022-11-05 21:28:04.421',"diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists","abdominal sonographers"
'2022-11-05 21:28:04.421',"diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists","breast sonographers"
'2022-11-05 21:28:04.421',"diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists","cardiac sonographers"
'2022-11-05 21:28:04.421',"diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists","musculoskeletal sonographers"
'2022-11-05 21:28:04.421',"diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists","pediatric sonographers"
'2022-11-05 21:28:04.421',"diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists","obstetric sonographers"
'2022-11-05 21:28:04.421',"diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists","gynecologic sonographers"
'2022-11-05 21:28:04.421',"diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists","vascular technologists"
'2022-11-05 21:28:04.421',"diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists","cardiovascular invasive specialists"
'2022-11-05 21:28:04.421',"diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists","cardiographic technicians"
'2022-11-05 21:28:04.421',"diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists","electrocardiogram technicians"
'2022-11-05 21:28:04.421',"diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists","pulmonary function technoogists"
'2022-11-05 21:28:04.421',"dietitians and nutritionists","clinical dietitions"
'2022-11-05 21:28:04.421',"dietitians and nutritionists","clinical nutritionists"
'2022-11-05 21:28:04.421',"dietitians and nutritionists","community dietitians"
'2022-11-05 21:28:04.421',"dietitians and nutritionists","community nutritionists"
'2022-11-05 21:28:04.421',"dietitians and nutritionists","management dietitians"
'2022-11-05 21:28:04.421',"emts and paramedics","emergency medicaal responders"
'2022-11-05 21:28:04.421',"emts and paramedics","emt"
'2022-11-05 21:28:04.421',"emts and paramedics","advanced emt"
'2022-11-05 21:28:04.421',"emts and paramedics","paramedics"
'2022-11-05 21:28:04.421',"home health aides and personal care aides","hoome health aids"
'2022-11-05 21:28:04.421',"home health aides and personal care aides","personal care aids"
'2022-11-05 21:28:04.421',"home health aides and personal care aides","direct support professionals"
'2022-11-05 21:28:04.421',"medical and clinical laboratory technologists and technicians","blood bank technologists"
'2022-11-05 21:28:04.421',"medical and clinical laboratory technologists and technicians","immunohematology technologists"
'2022-11-05 21:28:04.421',"medical and clinical laboratory technologists and technicians","clinical chemistry technologists"
'2022-11-05 21:28:04.421',"medical and clinical laboratory technologists and technicians","cytotechnologists"
'2022-11-05 21:28:04.421',"medical and clinical laboratory technologists and technicians","immunology technologists"
'2022-11-05 21:28:04.421',"medical and clinical laboratory technologists and technicians","microbiology technologists"
'2022-11-05 21:28:04.421',"medical and clinical laboratory technologists and technicians","molecular biology technologists"
'2022-11-05 21:28:04.421',"medical assistants","administrative medical assistants"
'2022-11-05 21:28:04.421',"medical assistants","clinical medical assitants"
'2022-11-05 21:28:04.421',"medical assistants","ophthalmic medical assistants"
'2022-11-05 21:28:04.421',"medical assistants","optometric assistants"
'2022-11-05 21:28:04.421',"medical assistants","podiatric medical assistants"
'2022-11-05 21:28:04.421',"nurse anesthetists, nurse midwives, nurse practitioners","nurse anesthetists"
'2022-11-05 21:28:04.421',"nurse anesthetists, nurse midwives, nurse practitioners","nurse midwives"
'2022-11-05 21:28:04.421',"nurse anesthetists, nurse midwives, nurse practitioners","nurse practitioners"
'2022-11-05 21:28:04.421',"nurse anesthetists, nurse midwives, nurse practitioners","clinical nurse specialists"
